,timestamp,open,high,low,close,adjusted close,volume,dividend amount
235,2002-12-31,15.9,16.1,13.78,14.33,0.2188,80900700,0.0
236,2002-11-29,15.94,17.38,15.01,15.5,0.2366,80923600,0.0
237,2002-10-31,14.59,16.44,13.36,16.07,0.2453,118061300,0.0
238,2002-09-30,14.49,15.19,14.05,14.5,0.2214,94497100,0.0
239,2002-08-30,15.11,16.25,13.97,14.75,0.2252,91994400,0.0
240,2002-07-31,17.71,18.79,13.8,15.26,0.233,144971700,0.0
241,2002-06-28,23.39,23.45,15.98,17.72,0.2705,155500300,0.0
242,2002-05-31,24.29,25.98,22.14,23.3,0.3557,106717100,0.0
243,2002-04-30,24.7,26.17,23.0,24.27,0.3705,114693500,0.0
244,2002-03-28,21.93,25.3,21.82,23.67,0.3614,94974700,0.0
245,2002-02-28,24.96,25.98,20.94,21.7,0.3313,139954000,0.0
246,2002-01-31,22.05,24.73,20.26,24.72,0.3774,152060300,0.0
247,2001-12-31,21.06,24.03,20.09,21.9,0.3343,82675700,0.0
248,2001-11-30,17.65,21.55,17.25,21.3,0.3252,95888300,0.0
249,2001-10-31,15.49,19.42,14.83,17.56,0.2681,134718700,0.0
250,2001-09-28,18.5,19.08,14.68,15.51,0.2368,98777200,0.0
251,2001-08-31,19.01,19.9,17.28,18.55,0.2832,91595700,0.0
252,2001-07-31,23.64,25.22,17.85,18.79,0.2869,154555400,0.0
253,2001-06-29,20.13,25.1,19.35,23.25,0.3549,136397600,0.0
254,2001-05-31,25.41,26.7,19.3,19.95,0.3046,133364900,0.0
255,2001-04-30,22.09,27.12,18.75,25.49,0.3891,199267700,0.0
256,2001-03-30,17.81,23.75,17.19,22.07,0.3369,192840400,0.0
257,2001-02-28,20.69,21.94,18.0,18.25,0.2786,125424400,0.0
258,2001-01-31,14.88,22.5,14.44,21.62,0.3301,244811800,0.0
259,2000-12-29,17.0,17.5,13.63,14.88,0.2272,158195900,0.0
260,2000-11-30,19.44,23.0,16.12,16.5,0.2519,151578100,0.0
261,2000-10-31,26.69,26.75,17.5,19.56,0.2986,391174800,0.0
262,2000-09-29,61.31,64.12,25.37,25.75,0.3931,259230900,0.0
263,2000-08-31,50.31,61.5,44.25,60.94,0.9303,100644400,0.0
264,2000-07-31,52.13,60.63,46.88,50.81,0.7757,102620900,0.0
265,2000-06-30,81.75,103.94,50.31,52.38,0.7997,89106200,0.0
266,2000-05-31,124.87,126.25,81.75,84.0,0.6412,87569200,0.0
267,2000-04-28,135.5,139.5,104.87,124.06,0.947,77342900,0.0
268,2000-03-31,118.56,150.38,114.0,135.81,1.0367,77663900,0.0
269,2000-02-29,104.0,119.94,97.0,114.62,0.8749,65355200,0.0
270,2000-01-31,104.87,121.5,86.5,103.75,0.7919,112099800,0.0
271,1999-12-31,101.0,118.0,91.06,102.81,0.7848,84091200,0.0
